areaCode,areaName,areaType,date,newCasesByPublishDate,rollingAvg,caseRate
E10000015,Hertfordshire,utla,2021-06-12,73,68.85714285714286,5.79
E12000006,East of England,region,2021-06-12,299,302.14285714285717,4.85
E92000001,England,nation,2021-06-12,6601,5798.285714285715,10.3
E10000015,Hertfordshire,utla,2021-06-13,54,70.71428571428571,5.94
E12000006,East of England,region,2021-06-13,256,308.57142857142856,4.95
E92000001,England,nation,2021-06-13,6269,6064.571428571428,10.77
E10000015,Hertfordshire,utla,2021-06-14,90,72.28571428571429,6.08
E12000006,East of England,region,2021-06-14,344,311.85714285714283,5
E92000001,England,nation,2021-06-14,6647,6312.285714285715,11.21
E10000015,Hertfordshire,utla,2021-06-15,93,75.42857142857143,6.34
E12000006,East of England,region,2021-06-15,385,322.14285714285717,5.17
E92000001,England,nation,2021-06-15,6486,6488.857142857143,11.53
E10000015,Hertfordshire,utla,2021-06-16,87,80.57142857142857,6.77
E12000006,East of England,region,2021-06-16,340,338.2857142857143,5.42
E92000001,England,nation,2021-06-16,7642,6694.714285714285,11.89
E10000015,Hertfordshire,utla,2021-06-17,158,92,7.73
E12000006,East of England,region,2021-06-17,439,340,5.45
E92000001,England,nation,2021-06-17,9371,7114,12.64
E10000015,Hertfordshire,utla,2021-06-18,120,96.42857142857143,8.11
E12000006,East of England,region,2021-06-18,429,356,5.71
E92000001,England,nation,2021-06-18,9185,7457.285714285715,13.25
E10000015,Hertfordshire,utla,2021-06-19,154,108,9.08
E12000006,East of England,region,2021-06-19,443,376.57142857142856,6.04
E92000001,England,nation,2021-06-19,8954,7793.428571428572,13.85
E10000015,Hertfordshire,utla,2021-06-20,126,118.28571428571429,9.94
E12000006,East of England,region,2021-06-20,421,400.14285714285717,6.42
E92000001,England,nation,2021-06-20,7778,8009,14.23
E10000015,Hertfordshire,utla,2021-06-21,117,122.14285714285714,10.27
E12000006,East of England,region,2021-06-21,411,409.7142857142857,6.57
E92000001,England,nation,2021-06-21,8766,8311.714285714286,14.77
E10000015,Hertfordshire,utla,2021-06-22,140,128.85714285714286,10.83
E12000006,East of England,region,2021-06-22,442,417.85714285714283,6.7
E92000001,England,nation,2021-06-22,9096,8684.57142857143,15.43
E10000015,Hertfordshire,utla,2021-06-23,202,145.28571428571428,12.21
E12000006,East of England,region,2021-06-23,661,463.7142857142857,7.44
E92000001,England,nation,2021-06-23,12765,9416.42857142857,16.73
E10000015,Hertfordshire,utla,2021-06-24,207,152.28571428571428,12.8
E12000006,East of England,region,2021-06-24,730,505.2857142857143,8.1
E92000001,England,nation,2021-06-24,13068,9944.57142857143,17.67
E10000015,Hertfordshire,utla,2021-06-25,217,166.14285714285714,13.97
E12000006,East of England,region,2021-06-25,744,550.2857142857143,8.82
E92000001,England,nation,2021-06-25,13498,10560.714285714286,18.76
E10000015,Hertfordshire,utla,2021-06-26,224,176.14285714285714,14.81
E12000006,East of England,region,2021-06-26,742,593,9.51
E92000001,England,nation,2021-06-26,15136,11443.857142857143,20.33
E10000015,Hertfordshire,utla,2021-06-27,206,187.57142857142858,15.77
E12000006,East of England,region,2021-06-27,692,631.7142857142857,10.13
E92000001,England,nation,2021-06-27,11560,11984.142857142857,21.29
E10000015,Hertfordshire,utla,2021-06-28,306,214.57142857142858,18.04
E12000006,East of England,region,2021-06-28,1150,737.2857142857143,11.82
E92000001,England,nation,2021-06-28,18702,13403.57142857143,23.81
E10000015,Hertfordshire,utla,2021-06-29,282,234.85714285714286,19.74
E12000006,East of England,region,2021-06-29,1051,824.2857142857143,13.22
E92000001,England,nation,2021-06-29,16802,14504.42857142857,25.77
E10000015,Hertfordshire,utla,2021-06-30,262,243.42857142857142,20.46
E12000006,East of England,region,2021-06-30,1022,875.8571428571429,14.05
E92000001,England,nation,2021-06-30,21293,15722.714285714286,27.93
E10000015,Hertfordshire,utla,2021-07-01,388,269.2857142857143,22.64
E12000006,East of England,region,2021-07-01,1502,986.1428571428571,15.81
E92000001,England,nation,2021-07-01,22948,17134.14285714286,30.44
E10000015,Hertfordshire,utla,2021-07-02,336,286.2857142857143,24.07
E12000006,East of England,region,2021-07-02,1359,1074,17.22
E92000001,England,nation,2021-07-02,22393,18404.85714285714,32.7
E10000015,Hertfordshire,utla,2021-07-03,330,301.42857142857144,25.34
E12000006,East of England,region,2021-07-03,1326,1157.4285714285713,18.56
E92000001,England,nation,2021-07-03,21317,19287.85714285714,34.27
E10000015,Hertfordshire,utla,2021-07-04,390,327.7142857142857,27.55
E12000006,East of England,region,2021-07-04,1451,1265.857142857143,20.3
E92000001,England,nation,2021-07-04,20454,20558.428571428572,36.52
E10000015,Hertfordshire,utla,2021-07-05,368,336.57142857142856,28.29
E12000006,East of England,region,2021-07-05,1703,1344.857142857143,21.57
E92000001,England,nation,2021-07-05,23286,21213.285714285714,37.69
E10000015,Hertfordshire,utla,2021-07-06,597,381.57142857142856,32.08
E12000006,East of England,region,2021-07-06,2285,1521.142857142857,24.39
E92000001,England,nation,2021-07-06,25295,22426.571428571428,39.84
E10000015,Hertfordshire,utla,2021-07-07,484,413.2857142857143,34.74
E12000006,East of England,region,2021-07-07,2155,1683,26.99
E92000001,England,nation,2021-07-07,27516,23315.571428571428,41.42
E10000015,Hertfordshire,utla,2021-07-08,483,426.85714285714283,35.88
E12000006,East of England,region,2021-07-08,1919,1742.5714285714287,27.94
E92000001,England,nation,2021-07-08,28421,24097.428571428572,42.81
E10000015,Hertfordshire,utla,2021-07-09,572,460.57142857142856,38.72
E12000006,East of England,region,2021-07-09,2500,1905.5714285714287,30.56
E92000001,England,nation,2021-07-09,31231,25360,45.05
E10000015,Hertfordshire,utla,2021-07-10,566,494.2857142857143,41.55
E12000006,East of England,region,2021-07-10,2386,2057,32.99
E92000001,England,nation,2021-07-10,29732,26562.14285714286,47.19
E10000015,Hertfordshire,utla,2021-07-11,568,519.7142857142857,43.69
E12000006,East of England,region,2021-07-11,2097,2149.285714285714,34.47
E92000001,England,nation,2021-07-11,28421,27700.285714285714,49.21
E10000015,Hertfordshire,utla,2021-07-12,558,546.8571428571429,45.97
E12000006,East of England,region,2021-07-12,2211,2221.8571428571427,35.63
E92000001,England,nation,2021-07-12,30619,28747.85714285714,51.07
E10000015,Hertfordshire,utla,2021-07-13,716,563.8571428571429,47.4
E12000006,East of England,region,2021-07-13,2833,2300.1428571428573,36.88
E92000001,England,nation,2021-07-13,32883,29831.85714285714,53
E10000015,Hertfordshire,utla,2021-07-14,703,595.1428571428571,50.03
E12000006,East of England,region,2021-07-14,3182,2446.8571428571427,39.24
E92000001,England,nation,2021-07-14,37895,31314.571428571428,55.63
E10000015,Hertfordshire,utla,2021-07-15,955,662.5714285714286,55.7
E12000006,East of England,region,2021-07-15,3921,2732.8571428571427,43.82
E92000001,England,nation,2021-07-15,44523,33614.857142857145,59.72
E10000015,Hertfordshire,utla,2021-07-16,876,706,59.35
E12000006,East of England,region,2021-07-16,4186,2973.714285714286,47.69
E92000001,England,nation,2021-07-16,47360,35919,63.81
E10000015,Hertfordshire,utla,2021-07-17,1040,773.7142857142857,65.04
E12000006,East of England,region,2021-07-17,4508,3276.8571428571427,52.55
E92000001,England,nation,2021-07-17,50955,38950.857142857145,69.2
E10000015,Hertfordshire,utla,2021-07-18,893,820.1428571428571,68.95
E12000006,East of England,region,2021-07-18,3829,3524.285714285714,56.51
E92000001,England,nation,2021-07-18,44777,41287.42857142857,73.35
E10000015,Hertfordshire,utla,2021-07-19,476,808.4285714285714,67.96
E12000006,East of England,region,2021-07-19,2249,3529.714285714286,56.6
E92000001,England,nation,2021-07-19,34657,41864.28571428572,74.38
E10000015,Hertfordshire,utla,2021-07-20,1440,911.8571428571429,76.66
E12000006,East of England,region,2021-07-20,5784,3951.285714285714,63.36
E92000001,England,nation,2021-07-20,43261,43346.857142857145,77.01
E10000015,Hertfordshire,utla,2021-07-21,702,911.7142857142857,76.65
E12000006,East of England,region,2021-07-21,3729,4029.4285714285716,64.61
E92000001,England,nation,2021-07-21,39504,43576.71428571428,77.42
E10000015,Hertfordshire,utla,2021-07-22,742,881.2857142857143,74.09
E12000006,East of England,region,2021-07-22,3186,3924.4285714285716,62.93
E92000001,England,nation,2021-07-22,35939,42350.42857142857,75.24
E10000015,Hertfordshire,utla,2021-07-23,738,861.5714285714286,72.43
E12000006,East of England,region,2021-07-23,3081,3766.5714285714284,60.4
E92000001,England,nation,2021-07-23,32792,40269.28571428572,71.54
E10000015,Hertfordshire,utla,2021-07-24,650,805.8571428571429,67.75
E12000006,East of England,region,2021-07-24,2816,3524.8571428571427,56.52
E92000001,England,nation,2021-07-24,28968,37128.28571428572,65.96
E10000015,Hertfordshire,utla,2021-07-25,524,753.1428571428571,63.31
E12000006,East of England,region,2021-07-25,2378,3317.5714285714284,53.2
E92000001,England,nation,2021-07-25,25434,34365,61.05
E10000015,Hertfordshire,utla,2021-07-26,402,742.5714285714286,62.43
E12000006,East of England,region,2021-07-26,2078,3293.1428571428573,52.81
E92000001,England,nation,2021-07-26,22181,32582.714285714286,57.89
E10000015,Hertfordshire,utla,2021-07-27,458,602.2857142857143,50.63
E12000006,East of England,region,2021-07-27,2004,2753.1428571428573,44.15
E92000001,England,nation,2021-07-27,20290,29301.14285714286,52.06
E10000015,Hertfordshire,utla,2021-07-28,501,573.5714285714286,48.22
E12000006,East of England,region,2021-07-28,2276,2545.5714285714284,40.82
E92000001,England,nation,2021-07-28,24367,27138.714285714286,48.21
E10000015,Hertfordshire,utla,2021-07-29,557,547.1428571428571,46
E12000006,East of England,region,2021-07-29,2637,2467.1428571428573,39.56
E92000001,England,nation,2021-07-29,27524,25936.571428571428,46.08
E10000015,Hertfordshire,utla,2021-07-30,449,505.85714285714283,42.53
E12000006,East of England,region,2021-07-30,2462,2378.714285714286,38.14
E92000001,England,nation,2021-07-30,26241,25000.714285714286,44.42
E10000015,Hertfordshire,utla,2021-07-31,438,475.57142857142856,39.98
E12000006,East of England,region,2021-07-31,2074,2272.714285714286,36.44
E92000001,England,nation,2021-07-31,23949,24283.714285714286,43.14
E10000015,Hertfordshire,utla,2021-08-01,441,463.7142857142857,38.98
E12000006,East of England,region,2021-08-01,2084,2230.714285714286,35.77
E92000001,England,nation,2021-08-01,21645,23742.428571428572,42.18
E10000015,Hertfordshire,utla,2021-08-02,431,467.85714285714283,39.33
E12000006,East of England,region,2021-08-02,2060,2228.1428571428573,35.73
E92000001,England,nation,2021-08-02,19175,23313,41.42
E10000015,Hertfordshire,utla,2021-08-03,384,457.2857142857143,38.44
E12000006,East of England,region,2021-08-03,1820,2201.8571428571427,35.31
E92000001,England,nation,2021-08-03,19012,23130.428571428572,41.09
E10000015,Hertfordshire,utla,2021-08-04,573,467.57142857142856,39.31
E12000006,East of England,region,2021-08-04,2678,2259.285714285714,36.23
E92000001,England,nation,2021-08-04,26393,23419.85714285714,41.61
E10000015,Hertfordshire,utla,2021-08-05,619,476.42857142857144,40.05
E12000006,East of England,region,2021-08-05,2572,2250,36.08
E92000001,England,nation,2021-08-05,26512,23275.285714285714,41.35
E10000015,Hertfordshire,utla,2021-08-06,526,487.42857142857144,40.98
E12000006,East of England,region,2021-08-06,2718,2286.5714285714284,36.67
E92000001,England,nation,2021-08-06,28321,23572.428571428572,41.88
E10000015,Hertfordshire,utla,2021-08-07,543,502.42857142857144,42.24
E12000006,East of England,region,2021-08-07,2399,2333,37.41
E92000001,England,nation,2021-08-07,25877,23847.85714285714,42.37
E10000015,Hertfordshire,utla,2021-08-08,458,504.85714285714283,42.44
E12000006,East of England,region,2021-08-08,2167,2344.8571428571427,37.6
E92000001,England,nation,2021-08-08,24196,24212.285714285714,43.02
E10000015,Hertfordshire,utla,2021-08-09,427,504.2857142857143,42.39
E12000006,East of England,region,2021-08-09,2084,2348.285714285714,37.66
E92000001,England,nation,2021-08-09,21915,24603.714285714286,43.71
E10000015,Hertfordshire,utla,2021-08-10,362,501.14285714285717,42.13
E12000006,East of England,region,2021-08-10,1909,2361,37.86
E92000001,England,nation,2021-08-10,20630,24834.85714285714,44.12
E10000015,Hertfordshire,utla,2021-08-11,532,495.2857142857143,41.64
E12000006,East of England,region,2021-08-11,2500,2335.5714285714284,37.45
E92000001,England,nation,2021-08-11,26647,24871.14285714286,44.19
E10000015,Hertfordshire,utla,2021-08-12,636,497.7142857142857,41.84
E12000006,East of England,region,2021-08-12,2861,2376.8571428571427,38.11
E92000001,England,nation,2021-08-12,28093,25097,44.59
E10000015,Hertfordshire,utla,2021-08-13,615,510.42857142857144,42.91
E12000006,East of England,region,2021-08-13,2804,2389.1428571428573,38.31
E92000001,England,nation,2021-08-13,28679,25148.14285714286,44.68
E10000015,Hertfordshire,utla,2021-08-14,543,510.42857142857144,42.91
E12000006,East of England,region,2021-08-14,2402,2389.5714285714284,38.32
E92000001,England,nation,2021-08-14,26700,25265.714285714286,44.89
E10000015,Hertfordshire,utla,2021-08-15,426,505.85714285714283,42.53
E12000006,East of England,region,2021-08-15,2002,2366,37.94
E92000001,England,nation,2021-08-15,22859,25074.714285714286,44.55
E10000015,Hertfordshire,utla,2021-08-16,403,502.42857142857144,42.24
E12000006,East of England,region,2021-08-16,2221,2385.5714285714284,38.25
E92000001,England,nation,2021-08-16,23171,25254.14285714286,44.87
E10000015,Hertfordshire,utla,2021-08-17,483,519.7142857142857,43.69
E12000006,East of England,region,2021-08-17,2267,2436.714285714286,39.07
E92000001,England,nation,2021-08-17,22712,25551.571428571428,45.4
E10000015,Hertfordshire,utla,2021-08-18,505,515.8571428571429,43.37
